Symbol	Species
XIAP	bos taurus
NR2E1	bos taurus
KRAS	bos taurus
RAF1	bos taurus
SYNGAP1	bos taurus
WWOX	bos taurus
MFSD10	bos taurus
PIGT	bos taurus
QRICH1	bos taurus
INHBA	bos taurus
RMDN3	bos taurus
IER3	bos taurus
BCL10	bos taurus
TIGAR	bos taurus
MARCKS	bos taurus
ATG5	bos taurus
GSKIP	bos taurus
CDCA7	bos taurus
CASP3	bos taurus
C1D	bos taurus
EBAG9	bos taurus
HOXA13	bos taurus
GATA1	bos taurus
ALDH1A3	bos taurus
RHOT2	bos taurus
RYR2	bos taurus
TMEM258	bos taurus
P2RX4	bos taurus
TMEM79	bos taurus
MAP2K6	bos taurus
XAF1	bos taurus
IFI6	bos taurus
FGF10	bos taurus
Fgf4	bos taurus
KCNIP3	bos taurus
SLC1A1	bos taurus
HNF1B	bos taurus
YBX3	bos taurus
CYCS	bos taurus
CECR2	bos taurus
CHI3L1	bos taurus
ARF6	bos taurus
TIMM50	bos taurus
NAIF1	bos taurus
ITPK1	bos taurus
EGLN3	bos taurus
BHLHE23	bos taurus
COA8	bos taurus
ZFP36L1	bos taurus
SGK1	bos taurus
DAPK3	bos taurus
TAF10	bos taurus
BCL7B	bos taurus
GZMA	bos taurus
GDF5	bos taurus
ERO1A	bos taurus
PARP1	bos taurus
BAK1	bos taurus
BLOC1S2	bos taurus
CKAP2	bos taurus
MSH2	bos taurus
TNFRSF11B	bos taurus
ING5	bos taurus
RNF34	bos taurus
BEX2	bos taurus
HMOX1	bos taurus
DAD1	bos taurus
CASP4	bos taurus
PDIA3	bos taurus
FAP	bos taurus
CTSV	bos taurus
CASP1	bos taurus
EMP2	bos taurus
PRKCD	bos taurus
SGPL1	bos taurus
COL4A3	bos taurus
GDF6	bos taurus
BABAM2	bos taurus
S100A9	bos taurus
S100A8	bos taurus
KRT20	bos taurus
TRAF3IP2	bos taurus
ZC3H12A	bos taurus
NINJ1	bos taurus
CD2AP	bos taurus
TNFRSF6B	bos taurus
RARG	bos taurus
RNF41	bos taurus
FATE1	bos taurus
PPP1R15A	bos taurus
TNFRSF1A	bos taurus
NDUFA13	bos taurus
SFRP1	bos taurus
RTN3	bos taurus
TMF1	bos taurus
SYCP2	bos taurus
EPHA7	bos taurus
RIPK1	bos taurus
SAV1	bos taurus
LGALS1	bos taurus
CDK1	bos taurus
CDKN1B	bos taurus
GZMB	bos taurus
CDKN2A	bos taurus
PRKCB	bos taurus
TRPC5	bos taurus
CSNK2A2	bos taurus
SLC25A6	bos taurus
EDNRA	bos taurus
MYDGF	bos taurus
EPO	bos taurus
AIMP2	bos taurus
GCLM	bos taurus
BCL2L15	bos taurus
SHH	bos taurus
RAPSN	bos taurus
BMP7	bos taurus
CNTFR	bos taurus
NDP	bos taurus
RRP8	bos taurus
KCNQ3	bos taurus
CSNK2A1	bos taurus
APAF1	bos taurus
ELMO2	bos taurus
DNM1L	bos taurus
RAD9A	bos taurus
SKIL	bos taurus
TAOK1	bos taurus
RBM10	bos taurus
POU4F3	bos taurus
MELK	bos taurus
SCRIB	bos taurus
TLR3	bos taurus
OGT	bos taurus
BIRC5	bos taurus
NKX2-6	bos taurus
PGAM5	bos taurus
RHOA	bos taurus
OPA1	bos taurus
CIDEC	bos taurus
TP63	bos taurus
APP	bos taurus
EMP1	bos taurus
NKG7	bos taurus
SCN2A	bos taurus
TCIM	bos taurus
G3MX54	bos taurus
NRADD	bos taurus
ANGPTL4	bos taurus
YAP1	bos taurus
PRF1	bos taurus
A2VDZ5	bos taurus
MEF2A	bos taurus
ELMO1	bos taurus
PYCARD	bos taurus
CLPTM1L	bos taurus
NOC2L	bos taurus
SIK1	bos taurus
NLRP1	bos taurus
RACK1	bos taurus
FASTKD2	bos taurus
LRP5	bos taurus
GSN	bos taurus
TRPM7	bos taurus
SORT1	bos taurus
AKAP1	bos taurus
PCGF2	bos taurus
ZNF622	bos taurus
PDK1	bos taurus
ZMPSTE24	bos taurus
PIM1	bos taurus
BCL2	bos taurus
CYP26B1	bos taurus
GADD45B	bos taurus
EMP3	bos taurus
ZNF259	bos taurus
RB1CC1	bos taurus
JADE1	bos taurus
CLN8	bos taurus
BNIP3	bos taurus
BAG3	bos taurus
ZDHHC16	bos taurus
DNAAF10	bos taurus
DRAM2	bos taurus
MLKL	bos taurus
RFFL	bos taurus
E2F1	bos taurus
VDAC2	bos taurus
RB1	bos taurus
CORO1A	bos taurus
SOX9	bos taurus
FOXO1	bos taurus
CTSC	bos taurus
HEY2	bos taurus
ROCK1	bos taurus
MAP3K7	bos taurus
COL6A3	bos taurus
TNF	bos taurus
DRAXIN	bos taurus
GRAMD4	bos taurus
INHBB	bos taurus
BAX	bos taurus
NEFL	bos taurus
PEG3	bos taurus
DYRK2	bos taurus
SLC5A11	bos taurus
SHISA5	bos taurus
CTSK	bos taurus
EXOC5	bos taurus
IFT57	bos taurus
TFDP1	bos taurus
COL2A1	bos taurus
CIAPIN1	bos taurus
CTSH	bos taurus
WNT5A	bos taurus
ERBB3	bos taurus
TMEM214	bos taurus
CIDEA	bos taurus
A0A3Q1LPH5	bos taurus
NHLH2	bos taurus
STK11	bos taurus
SMNDC1	bos taurus
SHC4	bos taurus
MEGF10	bos taurus
ATAD5	bos taurus
ZNF212	bos taurus
FOSL2	bos taurus
CD248	bos taurus
PDX1	bos taurus
API5	bos taurus
GPAM	bos taurus
CCN1	bos taurus
WNT4	bos taurus
C1QBP	bos taurus
EMC4	bos taurus
KDELR1	bos taurus
RNF152	bos taurus
CASP6	bos taurus
RNF144B	bos taurus
PIDD1	bos taurus
NGFR	bos taurus
VDR	bos taurus
SGMS1	bos taurus
NR4A1	bos taurus
FOXL2	bos taurus
CASP2	bos taurus
TMBIM6	bos taurus
SRGN	bos taurus
SUDS3	bos taurus
FADD	bos taurus
HIPK2	bos taurus
DDX47	bos taurus
PKM	bos taurus
AKTIP	bos taurus
CDKN2D	bos taurus
S100A14	bos taurus
RNF183	bos taurus
TBX2	bos taurus
RRAGA	bos taurus
SFRP2	bos taurus
SPATA2	bos taurus
CHIA	bos taurus
BBC3	bos taurus
TNFRSF18	bos taurus
BCL2L13	bos taurus
CYP1B1	bos taurus
TOPAZ1	bos taurus
PALB2	bos taurus
ADORA2A	bos taurus
ACVR1C	bos taurus
PML	bos taurus
RIPK3	bos taurus
PAWR	bos taurus
PPP1R13B	bos taurus
MADD	bos taurus
PJVK	bos taurus
DAPK2	bos taurus
ERCC6	bos taurus
NLRC4	bos taurus
RBM14	bos taurus
NOA1	bos taurus
ALKBH7	bos taurus
GSDME	bos taurus
BCL2L11	bos taurus
DAXX	bos taurus
RNF186	bos taurus
CIDEB	bos taurus
IFI27L2	bos taurus
RPS3	bos taurus
SMO	bos taurus
DIDO1	bos taurus
BIRC6	bos taurus
MAPK1	bos taurus
KANK2	homo sapiens
SIVA1	homo sapiens
C19orf12	homo sapiens
ATP2A1	homo sapiens
SUDS3	homo sapiens
TIM18	saccharomyces cerevisiae s288c
TCM62	saccharomyces cerevisiae s288c
YSP2	saccharomyces cerevisiae s288c
KEX1	saccharomyces cerevisiae s288c
AIM14	saccharomyces cerevisiae s288c
RHO5	saccharomyces cerevisiae s288c
CPR3	saccharomyces cerevisiae s288c
NMA111	saccharomyces cerevisiae s288c
POR1	saccharomyces cerevisiae s288c
OYE3	saccharomyces cerevisiae s288c
RNY1	saccharomyces cerevisiae s288c
SLX5	saccharomyces cerevisiae s288c
MCD1	saccharomyces cerevisiae s288c
AIF1	saccharomyces cerevisiae s288c
BXI1	saccharomyces cerevisiae s288c
SDD2	saccharomyces cerevisiae s288c
MCA1	saccharomyces cerevisiae s288c
YBL055C	saccharomyces cerevisiae s288c
PET9	saccharomyces cerevisiae s288c
WWM1	saccharomyces cerevisiae s288c
Emp1	rattus norvegicus
AABR07032392.1	rattus norvegicus
Bloc1s2	rattus norvegicus
Cfdp1	rattus norvegicus
Tmem238l	rattus norvegicus
Dnaja3	rattus norvegicus
Myd88	rattus norvegicus
Ticam1	rattus norvegicus
Dele1	rattus norvegicus
Bag3	rattus norvegicus
Cycsl2	rattus norvegicus
Sort1	rattus norvegicus
Vegfa	rattus norvegicus
Tesk2	rattus norvegicus
Bcl3	rattus norvegicus
Stambp	rattus norvegicus
Zbp1	rattus norvegicus
Gpam	rattus norvegicus
Nae1	rattus norvegicus
Atad5	rattus norvegicus
FIS1	saccharomyces cerevisiae s288c
crt-1	caenorhabditis elegans
csp-1	caenorhabditis elegans
csp-3	caenorhabditis elegans
ash-2	caenorhabditis elegans
dcr-1	caenorhabditis elegans
asp-8	caenorhabditis elegans
asp-7	caenorhabditis elegans
dap-3	caenorhabditis elegans
itr-1	caenorhabditis elegans
vps-41	caenorhabditis elegans
ire-1	caenorhabditis elegans
hrg-7	caenorhabditis elegans
asp-13	caenorhabditis elegans
nob-1	caenorhabditis elegans
snx-1	caenorhabditis elegans
asp-18	caenorhabditis elegans
swd-2.2	caenorhabditis elegans
mtp-18	caenorhabditis elegans
ndx-4	caenorhabditis elegans
msh-2	caenorhabditis elegans
mrt-2	caenorhabditis elegans
F15D4.4	caenorhabditis elegans
mir-34	caenorhabditis elegans
scrm-1	caenorhabditis elegans
fem-2	caenorhabditis elegans
fis-1	caenorhabditis elegans
mcd-1	caenorhabditis elegans
set-16	caenorhabditis elegans
snx-6	caenorhabditis elegans
uri-1	caenorhabditis elegans
eat-3	caenorhabditis elegans
tra-3	caenorhabditis elegans
drp-1	caenorhabditis elegans
dre-1	caenorhabditis elegans
dpl-1	caenorhabditis elegans
dlc-1	caenorhabditis elegans
tbx-2	caenorhabditis elegans
wdr-5.1	caenorhabditis elegans
pig-1	caenorhabditis elegans
siah-1	caenorhabditis elegans
cad-1	caenorhabditis elegans
brc-1	caenorhabditis elegans
bec-1	caenorhabditis elegans
bar-1	caenorhabditis elegans
asp-6	caenorhabditis elegans
asp-5	caenorhabditis elegans
asp-4	caenorhabditis elegans
asp-3	caenorhabditis elegans
asp-2	caenorhabditis elegans
asp-1	caenorhabditis elegans
ape-1	caenorhabditis elegans
akt-1	caenorhabditis elegans
aex-3	caenorhabditis elegans
rpn-11	caenorhabditis elegans
rpn-8	caenorhabditis elegans
rpn-3	caenorhabditis elegans
rbx-1	caenorhabditis elegans
rad-51	caenorhabditis elegans
utx-1	caenorhabditis elegans
lgg-1	caenorhabditis elegans
prmt-5	caenorhabditis elegans
nhr-67	caenorhabditis elegans
asp-19	caenorhabditis elegans
snt-1	caenorhabditis elegans
dpff-1	caenorhabditis elegans
sir-2.1	caenorhabditis elegans
nuc-1	caenorhabditis elegans
bcl-7	caenorhabditis elegans
cnt-1	caenorhabditis elegans
cgh-1	caenorhabditis elegans
cep-1	caenorhabditis elegans
ced-13	caenorhabditis elegans
ced-12	caenorhabditis elegans
ced-10	caenorhabditis elegans
ced-7	caenorhabditis elegans
ced-6	caenorhabditis elegans
ced-5	caenorhabditis elegans
ced-4	caenorhabditis elegans
ced-3	caenorhabditis elegans
ced-2	caenorhabditis elegans
crn-7	caenorhabditis elegans
egl-1	caenorhabditis elegans
pmk-1	caenorhabditis elegans
tank-1	caenorhabditis elegans
pis-1	caenorhabditis elegans
unc-51	caenorhabditis elegans
cbp-1	caenorhabditis elegans
asp-14	caenorhabditis elegans
cdk-5	caenorhabditis elegans
cdl-1	caenorhabditis elegans
ced-1	caenorhabditis elegans
ced-8	caenorhabditis elegans
ced-9	caenorhabditis elegans
ced-11	caenorhabditis elegans
ces-2	caenorhabditis elegans
hus-1	caenorhabditis elegans
hsp-60	caenorhabditis elegans
hsf-1	caenorhabditis elegans
csp-2	caenorhabditis elegans
crn-5	caenorhabditis elegans
let-70	caenorhabditis elegans
rbbp-5	caenorhabditis elegans
asp-12	caenorhabditis elegans
F20D6.11	caenorhabditis elegans
PPR30	arabidopsis thaliana
NSL1	arabidopsis thaliana
BAK1	arabidopsis thaliana
EFR	arabidopsis thaliana
EP1	arabidopsis thaliana
CRK5	arabidopsis thaliana
GFA2	arabidopsis thaliana
UBA2A	arabidopsis thaliana
AT1G71220	arabidopsis thaliana
LTP2	arabidopsis thaliana
ELI3-2	arabidopsis thaliana
ELI3-1	arabidopsis thaliana
SHM1	arabidopsis thaliana
ACD5	arabidopsis thaliana
LSD6	arabidopsis thaliana
FBR	arabidopsis thaliana
MYB108	arabidopsis thaliana
LAZ5	arabidopsis thaliana
LSD1	arabidopsis thaliana
RBP-DR1	arabidopsis thaliana
LecRK-IX.1	arabidopsis thaliana
EX1	arabidopsis thaliana
F6'H1	arabidopsis thaliana
RPP13	arabidopsis thaliana
RING1	arabidopsis thaliana
LRE	arabidopsis thaliana
CRK20	arabidopsis thaliana
CRK13	arabidopsis thaliana
CEP1	arabidopsis thaliana
NUDT7	arabidopsis thaliana
CRK4	arabidopsis thaliana
BZO2H1	arabidopsis thaliana
XCP2	arabidopsis thaliana
EX2	arabidopsis thaliana
ACD1	arabidopsis thaliana
RIN13	arabidopsis thaliana
EPC1	arabidopsis thaliana
EIN2	arabidopsis thaliana
RPM1	arabidopsis thaliana
HXK1	arabidopsis thaliana
UBA2b	arabidopsis thaliana
NPR1	arabidopsis thaliana
PLCL1	arabidopsis thaliana
PAD4	arabidopsis thaliana
RPP8	arabidopsis thaliana
TSO2	arabidopsis thaliana
EDR1	arabidopsis thaliana
VDD	arabidopsis thaliana
DELTA-VPE	arabidopsis thaliana
RRS1	arabidopsis thaliana
RPS4	arabidopsis thaliana
LecRK-IX.2	arabidopsis thaliana
LAZ1	arabidopsis thaliana
CPR5	arabidopsis thaliana
RCD1	arabidopsis thaliana
DM2h	arabidopsis thaliana
MBD4L	arabidopsis thaliana
E2F3	arabidopsis thaliana
BIR1	arabidopsis thaliana
PBS2	arabidopsis thaliana
BON1	arabidopsis thaliana
NDR1	arabidopsis thaliana
BCS1	arabidopsis thaliana
AGP4	arabidopsis thaliana
CRT3	arabidopsis thaliana
SVN	arabidopsis thaliana
HXK2	arabidopsis thaliana
GP ALPHA 1	arabidopsis thaliana
DND1	arabidopsis thaliana
EP3	arabidopsis thaliana
CAD1	arabidopsis thaliana
mTERF9	arabidopsis thaliana
PLDDELTA	arabidopsis thaliana
PCS1	arabidopsis thaliana
S100a9	rattus norvegicus
Prop1	rattus norvegicus
Gli3	rattus norvegicus
Mllt11	rattus norvegicus
Rock2	rattus norvegicus
E2f2	rattus norvegicus
Srgn	rattus norvegicus
Bnip2	rattus norvegicus
Cd27	rattus norvegicus
Timm50	rattus norvegicus
Sp110	rattus norvegicus
Rps6	rattus norvegicus
Ripk1	rattus norvegicus
Scn2a	rattus norvegicus
MKK5	arabidopsis thaliana
LSD4	arabidopsis thaliana
LSD5	arabidopsis thaliana
RPW8.1	arabidopsis thaliana
IHR1	arabidopsis thaliana
NLA	arabidopsis thaliana
XCP1	arabidopsis thaliana
EBP	arabidopsis thaliana
BIR1	saccharomyces cerevisiae s288c
TDH2	saccharomyces cerevisiae s288c
NUC1	saccharomyces cerevisiae s288c
HSP60	saccharomyces cerevisiae s288c
LOT6	saccharomyces cerevisiae s288c
TDH3	saccharomyces cerevisiae s288c
ESP1	saccharomyces cerevisiae s288c
PLA2A	arabidopsis thaliana
CNGC4	arabidopsis thaliana
UBA2c	arabidopsis thaliana
RPS5	arabidopsis thaliana
PEN3	arabidopsis thaliana
At4g24290	arabidopsis thaliana
ATG14b	arabidopsis thaliana
FMO1	arabidopsis thaliana
RABG3B	arabidopsis thaliana
PUB17	arabidopsis thaliana
CRY1	arabidopsis thaliana
MSL10	arabidopsis thaliana
NAC089	arabidopsis thaliana
PDCD5	arabidopsis thaliana
EDS1	arabidopsis thaliana
Angpt1	rattus norvegicus
AABR07005775.1	rattus norvegicus
Kcnj8	rattus norvegicus
Nkx2-6	rattus norvegicus
LOC120101052	rattus norvegicus
Stil	rattus norvegicus
Aifm2	rattus norvegicus
Hipk1	rattus norvegicus
Atf7	rattus norvegicus
Pkn1	rattus norvegicus
Cts8	rattus norvegicus
Mapt	rattus norvegicus
Ebf4	rattus norvegicus
Adamtsl4	rattus norvegicus
Pea15	rattus norvegicus
AtWSCP	arabidopsis thaliana
F54B8.4	caenorhabditis elegans
MYB30	arabidopsis thaliana
SERK4	arabidopsis thaliana
MC8	arabidopsis thaliana
FBR12	arabidopsis thaliana
DELTA-OAT	arabidopsis thaliana
At1g14780	arabidopsis thaliana
AT3G25070	arabidopsis thaliana
ATG14a	arabidopsis thaliana
RPS2	arabidopsis thaliana
CRT1	arabidopsis thaliana
CRH1	arabidopsis thaliana
REM11	arabidopsis thaliana
HOT5	arabidopsis thaliana
FSH1	saccharomyces cerevisiae s288c
KTI1	arabidopsis thaliana
Rraga	rattus norvegicus
Nlrp6	rattus norvegicus
Brms1	rattus norvegicus
Dux4	rattus norvegicus
Rnf7	rattus norvegicus
Grik2	rattus norvegicus
Pde6b	rattus norvegicus
Tbx2	rattus norvegicus
Cradd	rattus norvegicus
H19	rattus norvegicus
Zfp110	rattus norvegicus
Tfap2b	rattus norvegicus
Msh6	rattus norvegicus
Tmbim6	rattus norvegicus
Tgfbr1	rattus norvegicus
Gas6	rattus norvegicus
Cdkn2d	rattus norvegicus
Trpc5	rattus norvegicus
Fam32a	rattus norvegicus
GLI3	homo sapiens
AXL	homo sapiens
IGFBP3	homo sapiens
SIX3	homo sapiens
NOA1	homo sapiens
PANO1	homo sapiens
SMAD3	homo sapiens
PCSK9	homo sapiens
MAP3K20	homo sapiens
CTSL	homo sapiens
DRAXIN	homo sapiens
TRPC5	homo sapiens
PPARD	homo sapiens
ITCH	homo sapiens
HIPK2	homo sapiens
IFI27L2	homo sapiens
Kdm4a	mus musculus
Casp9	mus musculus
Pak4	mus musculus
Spn	mus musculus
Sox9	mus musculus
Sod2	mus musculus
Sod1	mus musculus
mTP63/iso:DeltaN	mus musculus
Agap2	mus musculus
Ube2z	mus musculus
Ndufs4	mus musculus
Bmx	mus musculus
Atf4	mus musculus
Gsdmc2	mus musculus
App	mus musculus
Aplp1	mus musculus
Gskip	mus musculus
Xbp1	mus musculus
Wt1	mus musculus
Wnt7b	mus musculus
Wnt7a	mus musculus
Wnt5a	mus musculus
Wnt4	mus musculus
Gsdmc3	mus musculus
Vil1	mus musculus
Rbm10	mus musculus
Naip2	mus musculus
Naip1	mus musculus
Naip6	mus musculus
Naip5	mus musculus
Mir17	mus musculus
Mir106b	mus musculus
Ccn1	mus musculus
Tuba1a	mus musculus
Trp53	mus musculus
Ifi27l2a	mus musculus
Cyfip2	mus musculus
Dynlt1b	mus musculus
Edar	mus musculus
Cebpb	mus musculus
Cdk1	mus musculus
Cd5	mus musculus
Cd3e	mus musculus
Cd28	mus musculus
Cd27	mus musculus
Cd24a	mus musculus
Siva1	mus musculus
D1Pas1	mus musculus
Hnf1b	mus musculus
Hnf1a	mus musculus
Apaf1	mus musculus
Babam2	mus musculus
Dedd	mus musculus
Mbd4	mus musculus
Noa1	mus musculus
Mrpl41	mus musculus
Pawr	mus musculus
Mir363	mus musculus
Cadm1	mus musculus
Rbm25	mus musculus
Xrcc4	mus musculus
Inppl1	mus musculus
Rrp8	mus musculus
Pdcd6ip	mus musculus
Rassf7	mus musculus
Mindy3	mus musculus
Gatad2a	mus musculus
Cdca7	mus musculus
Usp53	mus musculus
Kank2	mus musculus
Nae1	mus musculus
Aars1	mus musculus
Msh6	mus musculus
Rfk	mus musculus
Cts6	mus musculus
Sgpl1	mus musculus
Dedd2	mus musculus
Rnf144b	mus musculus
Mir92-1	mus musculus
Mir19b-1	mus musculus
Dynlt1a	mus musculus
Mir668	mus musculus
Slc5a8	mus musculus
Bcl2a1c	mus musculus
Bcl2a1b	mus musculus
Bcl2a1d	mus musculus
Lrp5	mus musculus
Rps6ka2	mus musculus
Sh3kbp1	mus musculus
Adar	mus musculus
Rffl	mus musculus
Mydgf	mus musculus
Melk	mus musculus
Gsdma	mus musculus
Pidd1	mus musculus
Vdac1	mus musculus
Dynlt1c	mus musculus
Vdac2	mus musculus
Khdc1a	mus musculus
Rhot2	mus musculus
Stk25	mus musculus
Rnf183	mus musculus
Taok1	mus musculus
Bmf	mus musculus
Ndufa13	mus musculus
Dram2	mus musculus
Nradd	mus musculus
Psmd9	mus musculus
CTSS	homo sapiens
GADD45G	homo sapiens
BDKRB2	homo sapiens
MLH1	homo sapiens
PDE3A	homo sapiens
MLKL	homo sapiens
CDK5RAP3	homo sapiens
SPG11	homo sapiens
PDE6B	homo sapiens
KRT20	homo sapiens
TNFRSF12A	homo sapiens
Apc	mus musculus
Itpk1	mus musculus
Nudt2	mus musculus
Stambp	mus musculus
Rtn3	mus musculus
Shh	mus musculus
Shb	mus musculus
Spi1	mus musculus
Lgals7	mus musculus
G0s2	mus musculus
Men1	mus musculus
Plscr1	mus musculus
Pdk2	mus musculus
Spop	mus musculus
Fcer1g	mus musculus
Dio3	mus musculus
Cck	mus musculus
Ctnnb1	mus musculus
Ctnna1	mus musculus
Cers3	mus musculus
Camk2b	mus musculus
Camk2a	mus musculus
Anxa6	mus musculus
Anxa2	mus musculus
S100a8	mus musculus
Btk	mus musculus
Tbx2	mus musculus
Tbx1	mus musculus
Braf	mus musculus
Bmp4	mus musculus
Bmi1	mus musculus
Epha7	mus musculus
Epha2	mus musculus
Rhbdd1	mus musculus
Gper1	mus musculus
Cyp1b1	mus musculus
Cyct	mus musculus
Cycs	mus musculus
Hif1a	mus musculus
Ctsl	mus musculus
Ctsb	mus musculus
Csnk2a2	mus musculus
Csnk2a1	mus musculus
Cryab	mus musculus
Cryaa	mus musculus
Crip1	mus musculus
Hells	mus musculus
Skil	mus musculus
Top2a	mus musculus
Thrb	mus musculus
Thbs1	mus musculus
Tgfbr2	mus musculus
Tgfb3	mus musculus
Tgfb1	mus musculus
Crh	mus musculus
Comp	mus musculus
Atg5	mus musculus
Ifi27	mus musculus
Snca	mus musculus
Ceacam5	mus musculus
Ube2d3	mus musculus
Ghitm	mus musculus
Ypel3	mus musculus
Sharpin	mus musculus
Nupr1	mus musculus
Sfn	mus musculus
Becn1	mus musculus
Acin1	mus musculus
Akt1	mus musculus
Agtr2	mus musculus
Agtr1b	mus musculus
Agtr1a	mus musculus
Agt	mus musculus
Agrn	mus musculus
Dnaja3	mus musculus
Ada	mus musculus
Ube4b	mus musculus
Ppp1r15a	mus musculus
Pak5	mus musculus
Clptm1l	mus musculus
Eda2r	mus musculus
Cd70	mus musculus
Zmat3	mus musculus
Dab2	mus musculus
Ifi208	mus musculus
Gngt1	mus musculus
Gpam	mus musculus
Grk5	mus musculus
Mir18	mus musculus
Mir19b-2	mus musculus
Dmd	mus musculus
Dmpk	mus musculus
Dlx1	mus musculus
Exoc5	mus musculus
Map2k4	mus musculus
Map2k6	mus musculus
Tigar	mus musculus
Ppp1r13b	mus musculus
Kcnq3	mus musculus
Cradd	mus musculus
Cflar	mus musculus
Dcc	mus musculus
Ivns1abp	mus musculus
Slk	mus musculus
Plscr3	mus musculus
Nfkbid	mus musculus
Xkr7	mus musculus
Tmf1	mus musculus
Lims1	mus musculus
Bmp7	mus musculus
Dock1	mus musculus
Trp73	mus musculus
Ctsll3	mus musculus
Fam162a	mus musculus
Ifi211	mus musculus
Phlda1	mus musculus
Ppp2r1b	mus musculus
Bloc1s2	mus musculus
Nlrp6	mus musculus
Ppargc1a	mus musculus
Ppp2r5c	mus musculus
Cln8	mus musculus
Ern2	mus musculus
Foxl2	mus musculus
Ctsj	mus musculus
Aifm1	mus musculus
Mcm2	mus musculus
Cit	mus musculus
Phlpp1	mus musculus
Ifi207	mus musculus
Rb1	mus musculus
Ripk2	mus musculus
Rarg	mus musculus
Rarb	mus musculus
Raf1	mus musculus
Pygl	mus musculus
Ptprc	mus musculus
Tnfrsf9	mus musculus
Six1	mus musculus
Aimp1	mus musculus
Six3	mus musculus
Prdx2	mus musculus
Cacna1a	mus musculus
Ptgis	mus musculus
Sgpp1	mus musculus
Timm50	mus musculus
Cav1	mus musculus
Faf1	mus musculus
Arl6ip1	mus musculus
Ralb	mus musculus
Ctsm	mus musculus
Bcl2a1a	mus musculus
Umod	mus musculus
Lhx3	mus musculus
Esr2	mus musculus
Casp7	mus musculus
Flcn	mus musculus
Cul7	mus musculus
Ppm1k	mus musculus
Prelid1	mus musculus
Pak2	mus musculus
Pak1	mus musculus
P2rx7	mus musculus
Dapl1	mus musculus
Fgf10	mus musculus
Hip1	mus musculus
Mir20b	mus musculus
Mir19a	mus musculus
Adamts20	mus musculus
Mir124a-2	mus musculus
Dynll1	mus musculus
Gcm2	mus musculus
Gsk3b	mus musculus
Mien1	mus musculus
Alkbh7	mus musculus
Aldh1a1	mus musculus
Slc25a4	mus musculus
Zbp1	mus musculus
Gulp1	mus musculus
Ube2b	mus musculus
Musk	mus musculus
Spink2	mus musculus
Fap	mus musculus
Plk3	mus musculus
Snw1	mus musculus
Fosl2	mus musculus
Pdx1	mus musculus
Tnfrsf11b	mus musculus
Bdkrb2	mus musculus
Map3k9	mus musculus
Ctsc	mus musculus
Kcnn4	mus musculus
Fhit	mus musculus
Mapk14	mus musculus
Tnfrsf23	mus musculus
Kcnq2	mus musculus
Pmaip1	mus musculus
Ern1	mus musculus
Zc3h8	mus musculus
Sema6a	mus musculus
Naip7	mus musculus
Jtb	mus musculus
Ube2k	mus musculus
Pcgf2	mus musculus
Angptl4	mus musculus
Gli3	mus musculus
Api5	mus musculus
Atf2	mus musculus
Eya1	mus musculus
Eya2	mus musculus
Brca2	mus musculus
Etv6	mus musculus
Prop1	mus musculus
Bnip1	mus musculus
Bnip2	mus musculus
Bnip3	mus musculus
Fadd	mus musculus
Gabarap	mus musculus
Rassf6	mus musculus
Psmd10	mus musculus
Snai2	mus musculus
Psme3	mus musculus
Chst11	mus musculus
E2f2	mus musculus
Bad	mus musculus
Sav1	mus musculus
Pglyrp1	mus musculus
Axin1	mus musculus
Ndp	mus musculus
Sltm	mus musculus
Cts3	mus musculus
Rnf130	mus musculus
Ncstn	mus musculus
Cul1	mus musculus
Aipl1	mus musculus
Acp2	mus musculus
Abl1	mus musculus
Stk26	mus musculus
Ngb	mus musculus
Sulf1	mus musculus
Trem2	mus musculus
Bnip3l	mus musculus
Muc2	mus musculus
Nek6	mus musculus
Fam3b	mus musculus
Sp110	mus musculus
Mettl21c	mus musculus
TAOK1	sus scrofa
SLC5A11	sus scrofa
LAMP1	sus scrofa
FOXO1	sus scrofa
LOC100522842	sus scrofa
CCAR2	sus scrofa
HIP1	sus scrofa
COA8	sus scrofa
DAPK3	sus scrofa
TMBIM6	sus scrofa
SHISA5	sus scrofa
POU4F3	sus scrofa
PDK2	sus scrofa
A0A5G2RHT4	sus scrofa
FLCN	sus scrofa
CIT	sus scrofa
TMEM238L	sus scrofa
ACVR1C	sus scrofa
RAF1	sus scrofa
CECR2	sus scrofa
CTNNB1	sus scrofa
CHI3L1	sus scrofa
SNW1	sus scrofa
TNFRSF11B	sus scrofa
SCRIB	sus scrofa
PPM1F	sus scrofa
DYRK2	sus scrofa
CHAC1	sus scrofa
HINT1	sus scrofa
TNFRSF9	sus scrofa
PPIA	sus scrofa
HAND2	sus scrofa
EPHA2	sus scrofa
ATM	sus scrofa
GDF6	sus scrofa
GCLM	sus scrofa
WNT11	sus scrofa
YBX3	sus scrofa
PRF1	sus scrofa
GAPDH	sus scrofa
CYP1B1	sus scrofa
XIAP	sus scrofa
SFN	sus scrofa
CD70	sus scrofa
BIRC5	sus scrofa
DDX3X	sus scrofa
CLN8	sus scrofa
RRP8	sus scrofa
NR4A2	sus scrofa
MAP3K5	sus scrofa
BECN1	sus scrofa
LOC100519295	sus scrofa
MLLT11	sus scrofa
GSDME	sus scrofa
EYA1	sus scrofa
BMF	sus scrofa
ERN2	sus scrofa
TYRO3	sus scrofa
